[(-0.5685446317862274, -0.9795533321470743, 1.2907631309961796), (-0.2665953046857562, -1.2491294386927008, 0.7637576116052937), (0.5162033365311044, -0.5780494881221211, 0.9466348081756557), (0.3612783730592113, -0.7207435487026694, 1.0689789996010437), (0.6146802634060566, -0.7062874949553852, 0.9643264573342745), (-0.12005377248860334, -0.9184232904973705, 0.885695772715046)],547.181
[(-0.39986769651481124, -0.958349314490786, 1.0842309685656009), (-0.05588490127840226, -0.9837391416018777, 0.5833913981681775), (-0.34626400267639, -0.7874680632847487, 0.8990298894123722), (0.2598027642948207, -1.711107494136468, 1.0645577631070606), (-0.2400250804143026, -0.531183028263194, 1.2652278136533026), (-0.060761514981229704, -0.8293416568485267, 1.1820446795899)],1.931
[(-0.5461727849411699, -1.4366010595866516, 1.0174351360132385), (-0.3467376835892509, -1.0358330127292723, 1.4269477136351931), (0.8774113539353982, -0.6515801753694674, 0.9985331548832891), (-0.2669904704468564, -0.6815170641189898, 1.4235342137974552), (0.14471978419282056, -1.2546707172164784, 0.8361809000865148), (-0.3117636887066708, -1.1254078095976614, 0.6625262432258134)],1.931
[(0.2719423958861965, -1.0839700053564278, 1.0943745485096459), (-0.06919191764547172, -0.8860374905539772, 0.9374908255167841), (0.12591608144400315, -0.7666613986598606, 0.42804235870052665), (0.5248906515698823, -0.6557476100474348, 1.3382457022586633), (-0.02724074154369212, -1.345912994071354, 1.4137767095296514), (0.1630327281732175, -0.8779828774860974, 0.7410289088160738)],1.931
[(-0.7345879746268433, -0.6909218246255617, 1.3358431604621268), (-0.24690661882320272, -1.34781457080792, 0.4465797633821288), (0.7128201887137979, -1.7517773218755057, 1.1181311546106605), (-0.1753507896229155, -0.7688898444617316, 1.764791451579622), (0.26667193475851914, -1.5959507381279445, 1.0190110640868408), (-0.4083239786262355, -0.5374409933751616, 1.0622613895963116)],262.603
[(-0.16339363117162015, -1.2909314048695342, 1.3565849357538562), (-0.4186617503240078, -1.2124146696414924, 0.5601745524540565), (0.5300520022541114, -1.0257510089069852, 1.1018362386711094), (0.26736245181334306, -1.2080697257490627, 0.4260656221821758), (-0.045268378142642424, -1.1747883311790366, 1.038596453201277), (-0.28730533621688686, -0.6569925169955042, 0.5707761258627787)],1.931
[(0.24702671336306947, -0.9162179067698126, 0.9608210311422261), (-0.09109797605423856, -0.6776011396231233, 0.49533447334132963), (-0.343336665786528, -1.0624680759744718, 0.9127002473515519), (0.07208974167020032, -1.8379722256098185, 1.2354784192687118), (-0.5078863543909669, -1.1871474003918427, 0.8253349005865565), (-0.3985529071106113, -0.6639959370150741, 0.9246393182645676)],1.931
[(-0.23191238053060204, -1.2920950304590217, 0.5673629259978068), (0.08896486201458631, -1.1217780055940283, 1.3842862816530261), (0.7470467133783106, -1.074074181978614, 0.9185927141867071), (-0.28247148474705497, -1.253888203345905, 0.6374488126331288), (0.035527256343392474, -1.040766913770939, 1.0499679461016755), (-0.5765056246010376, -1.3204524510684856, 1.0085667822443645)],1.932
[(-0.5489574435388402, -0.48413988527442897, 1.268079800716707), (-0.37545785098160145, -0.9008356450094028, 1.2499891686021083), (0.20888889043897718, -1.0478714936086921, 0.8741397702924846), (-0.33903291124406676, -1.0499265336749832, 1.2304948334010146), (-0.12277198122003324, -0.9778103971316982, 1.06237209726215), (-0.21736547172681578, -0.6901463432945034, 0.9492985143089163)],38.162
[(-0.5609286881182346, -1.0567968574995898, 1.2362600316354713), (-0.36907760769093695, -1.4545661489026591, 0.6557163967343432), (-0.03592016241227669, -0.6886271218912259, 0.8632184789395789), (0.10540707648291543, -0.9952430953399227, 0.8220091304289943), (0.7522633710845894, -0.6908265286305688, 1.1454485136827965), (-0.3904265052178247, -0.7980268509639286, 1.1370620321201421)],958.743
[(-0.747523188213882, -1.1222094074202962, 0.5884277080941718), (0.5711782956178, -0.49621996547004377, 1.4798658775044644), (0.625667992303622, -1.409591506882189, 1.3000098157451108), (-0.41952071219463655, -0.6246259686290541, 1.2582828075651666), (-0.2872868241293501, -0.9723934104118147, 1.3022277205793624), (-0.5223430310469682, -0.8073635099156908, 1.0613587337049009)],1854.542
[(-0.5390911177659061, -1.1810705878335166, 0.5300958542370175), (0.08303432666511829, -0.798197285395778, 0.6403093470503345), (0.34289537195897946, -0.8732539349692117, 1.367238835421786), (-0.4940835617013314, -0.8370667374606587, 0.9470510979669138), (0.0038023593677435213, -1.0948054660892645, 1.256402214611343), (0.4174992873764442, -0.8794774288324979, 1.525112132386468)],1.931
[(0.013105069573448258, -0.8650532467948937, 0.841800714181068), (0.09360751967695602, -0.900266682945529, 1.3300605982977698), (-0.5100658338447572, -0.8967801305608665, 1.187544988416062), (0.31917790224587017, -0.7924226479993316, 1.0152392664867027), (-0.4451760299022859, -1.0196313336702274, 1.2577220082286373), (-0.05675475122691797, -0.4198339395694811, 1.0728699077519306)],2206.661
[(-0.25719162625897374, -0.6831153503823661, 0.846246081946423), (-0.5828718434764355, -1.1451036436297304, 1.504036711880993), (0.5027448385258922, -1.0175533778146737, 1.2842359729575221), (-0.41600453432896534, -0.569204857476201, 1.2080366359411614), (-0.3375062838286649, -0.7913437327532006, 1.3008206555328092), (0.12747211274030362, -0.7387485326775032, 0.5583887895885864)],2.0
[(-0.7477117687777948, -1.1585678510062365, 0.9990884302797097), (-0.43536021008974246, -0.7082138581515298, 0.9346519865509955), (-0.26121353108196477, -0.5831858226305747, 0.3343888875859451), (0.07836687997632107, -0.4485675936072412, 0.558285785538799), (-0.13588366493781845, -1.3506779887550913, 1.0696830752783415), (0.2670724516352133, -1.1980836567542175, 1.4301729017777185)],280.308
[(-0.7546976242094434, -1.11690016662736, 0.4836208611004664), (0.14428456740496465, -0.7747552655181082, 0.6884779652458664), (0.4531066352702229, -0.6316045286592196, 1.1448150222372522), (-0.27488392315633625, -1.2575599306742267, 0.7044691345930517), (-0.45344457862458176, -1.3493347302579084, 1.0396399618965722), (-0.011504392617384517, -0.9394106502008638, 0.9653033168611367)],828.532
[(-0.8187054217300016, -0.4164358186545899, 1.3094493032949421), (0.10817792117459923, -1.0950923739978675, 0.6928241737102732), (0.07452322977812054, -1.3303421072608619, 0.7487437625130631), (-0.2727108204157765, -1.0258013220906637, 0.6374451911335475), (0.23461066277803255, -1.083146056495834, 1.0774086557235758), (-0.06739319064580988, -0.7640629435707623, 0.7728564483095264)],69.271
[(-0.753288020711402, -0.6244769842154022, 1.1569824343380022), (0.12237433106420925, -1.3453285233811707, 0.8087930960243714), (0.3706832459878392, -0.5932836642445023, 0.3563279805059145), (0.014189555453539806, -1.1635284488548736, 1.2267412297596951), (0.36283772249926505, -0.3783518925719387, 0.6960713024192562), (-0.18374879321189808, -0.9154199483069798, 1.2533078049776911)],5.532
